step,BattleShip2/conv,BattleShip2/iters,BattleShip2/nodes_touched,BattleShip2/tau,BattleShip2/alpha,BattleShip2/beta,BattleShip2/gamma
0,0.5,0,0,,,,
1,0.5,1,20138,1,1.022487919143947,-0.8825253571253124,4.997255630074201
2,0.782811780518756,2,40276,1,1.025533353584024,-0.883895888064117,4.997224649023956
3,1.2700336975199409,3,60414,1,1.0483517612375195,-0.8832276316551484,4.997041704839841
4,1.1938605672212645,4,80552,1,1.0731083334060383,-0.8828879108255825,4.996834491664032
5,1.0751387146559481,5,100690,1,1.073464907105681,-0.8844216119053097,4.996822009004754
6,1.042849547792518,6,120828,1,1.0718883208767953,-0.8861165030782037,4.996825312549172
7,0.6919096467881048,7,140966,1,1.0736565333630845,-0.8875799227809453,4.996801005685898
8,0.5385554213803864,8,161104,1,1.058374841097546,-0.8905987554993733,4.996915938432499
9,0.48429439723761913,9,181242,1,1.0503152273145753,-0.8931983222972368,4.996970899717098
10,0.47544360001028385,10,201380,1,1.0486917316847422,-0.8951605057151537,4.996974256915353
11,0.3969048968763743,11,221518,1,1.0509669409989064,-0.896666349451495,4.9969464337027
12,0.34980333408310227,12,241656,1,1.046040915918811,-0.8991252727180514,4.996976024160774
13,0.3901199015570992,13,261794,1,1.043527514746173,-0.9013342778450184,4.996986250955538
14,0.30997836779519283,14,281932,1,1.0514589990872798,-0.9020746913956368,4.996912800019934
15,0.3172321179214632,15,302070,1,1.0443379643016362,-0.9050002273332056,4.996960020196812
16,0.24955258784085393,16,322208,1,1.0484509330899703,-0.9062845157121078,4.996916869046997
17,0.2022532852458346,17,342346,1,1.0408971632486574,-0.9094450822647537,4.996967407309635
18,0.20751430842770258,18,362484,1,1.0346890651466756,-0.9125419036598688,4.99700669324704
19,0.20157886490776472,19,382622,1,1.0388891293919875,-0.9138080259830903,4.996963061337406
20,0.1759935867448718,20,402760,1,1.040678894292738,-0.915520546388612,4.996938334642985
21,0.1987578171273508,21,422898,1,1.0377509721667124,-0.9181437310367866,4.996951439748616
22,0.14180149254866475,22,443036,1,1.046213610471346,-0.9186047361115262,4.996872209862394
23,0.13870775549327474,23,463174,1,1.0343494334837047,-0.9230750917677106,4.996957694464624
24,0.13267153482759425,24,483312,1,1.0364397423789329,-0.9247931622810688,4.996930177388824
25,0.1297816614014678,25,503450,1,1.0375412906280275,-0.9267332306257605,4.9969104295309865
26,0.11342775446336922,26,523588,1,1.039637075424652,-0.9284689361868339,4.996882378392662
27,0.11136897849246452,27,543726,1,1.036751933213,-0.9313363200585871,4.996894879029782
28,0.099105107489743,28,563864,1,1.0390100552319033,-0.9330627379100296,4.996865215959608
29,0.12135823311061084,29,584002,1,1.036920227370467,-0.9358283205286599,4.9968710966229395
