step,GoofSpiel3/conv,GoofSpiel3/iters,GoofSpiel3/nodes_touched,GoofSpiel3/tau,GoofSpiel3/alpha,GoofSpiel3/beta,GoofSpiel3/gamma
0,0.6666666666666666,0,0,,,,
1,0.6666666666666666,1,134,1,1.022487919143947,-0.8825253571253124,4.997255630074201
2,0.1414447885604052,2,268,1,1.025533353584024,-0.883895888064117,4.997224649023956
3,0.016926883123355354,3,402,1,0.9627525753744604,-0.8960646425302452,4.997659271284914
4,0.003595548772453757,4,536,1,0.8789980765786711,-0.9229320375840238,4.998158278317758
5,0.001056681530196626,5,670,1,0.8200352001156119,-0.948682167561826,4.998443767393396
6,0.00038332803903718917,6,804,1,0.7755786789919561,-0.972737327847017,4.998629606230767
7,0.00016126204236863704,7,938,1,0.7404334415702749,-0.9957027209259892,4.998759606480903
8,7.573518157619542e-05,8,1072,1,0.7118064159038997,-1.0175737749311242,4.998855877307728
9,3.872724611972598e-05,9,1206,1,0.687780147629895,-1.038620641449892,4.998929753049973
10,2.1192035371124696e-05,10,1340,1,0.6670768657684505,-1.058697260123035,4.998987704028792
11,1.2255741835908895e-05,11,1474,1,0.6489605637426632,-1.0779295320782447,4.99903416935713
12,7.421123815500671e-06,12,1608,1,0.6331679728097037,-1.0964269978897971,4.9990719110081105
13,4.671559861691386e-06,13,1742,1,0.6194251974440148,-1.1142854759224927,4.99910286384025
14,3.0400975739892065e-06,14,1876,1,0.6073621231481403,-1.131601226794191,4.999128511687354
15,2.0361430313498185e-06,15,2010,1,0.596696355066777,-1.1484494309151707,4.999149925290876
16,1.3984680579076643e-06,16,2144,1,0.587208088182334,-1.1648900165325802,4.9991678972894595
17,9.82037664756584e-07,17,2278,1,0.5787232785377503,-1.1809715906543592,4.9991830273582
18,7.033308950686252e-07,18,2412,1,0.571102049431703,-1.1967341707475512,4.999195777771167
19,5.12675600967459e-07,19,2546,1,0.5642305060825192,-1.2122111324878315,4.999206510742757
20,3.796722624002685e-07,20,2680,1,0.5580143891230205,-1.227427624078078,4.999215515836336
21,2.8523347227483664e-07,21,2814,1,0.5523670489647898,-1.242348270584849,4.999223056974784
22,2.1709496013697083e-07,22,2948,1,0.5472209277763662,-1.2569768182810692,4.999229330227921
23,1.6721037402616544e-07,23,3082,1,0.5425219742244174,-1.271338411681153,4.99923448525322
24,1.3019952899283384e-07,24,3216,1,0.5382240225811241,-1.2854549611745167,4.9992386463653995
25,1.0240207930483108e-07,25,3350,1,0.5342873711856664,-1.299345683187997,4.999241917657813
26,8.128785889649822e-08,26,3484,1,0.5306808179608455,-1.3129978614508944,4.999244428118713
27,6.508215414766287e-08,27,3618,1,0.5273780960342622,-1.3263903325171147,4.999246301166609
28,5.2523214168023724e-08,28,3752,1,0.5243521482044688,-1.3395422208286134,4.99924759212394
29,4.27026898473206e-08,29,3886,1,0.5215785863103795,-1.352476691418492,4.999248348122444
30,3.4959005068485863e-08,30,4020,1,0.5190364434717856,-1.3652093287902671,4.999248610210587
31,2.8805070561740357e-08,31,4154,1,0.5167075838479442,-1.3777503612803055,4.999248423008902
32,2.3878620446183664e-08,32,4288,1,0.5145815729458962,-1.390108923571153,4.9992478309399235
33,1.9907663486027913e-08,33,4422,1,0.5126441636157553,-1.4022957916336294,4.9992468602779025
34,1.6686167152124707e-08,34,4556,1,0.5108815193442311,-1.4143206233299774,4.9992455337485495
35,1.405675562353318e-08,35,4690,1,0.5092812132264455,-1.4261922524738644,4.999243871417444
36,1.1898271516675646e-08,36,4824,1,0.5078319324855549,-1.437918790031763,4.999241891054993
