step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched,KuhnPoker/tau,KuhnPoker/alpha,KuhnPoker/beta,KuhnPoker/gamma
0,0.45833333333333326,0,0,,,,
1,0.45833333333333326,1,116,1,1.022487919143947,-0.8825253571253124,4.997255630074201
2,0.2512649837354157,2,232,1,1.025533353584024,-0.883895888064117,4.997224649023956
3,0.1332673425268438,3,348,1,1.0023759783150676,-0.888788141677312,4.997385855908725
4,0.1539032819590464,4,464,1,0.978137576072998,-0.8949406414492782,4.997547917406614
5,0.0861068055458461,5,580,1,0.9872473067629375,-0.8951970970681251,4.997476972529659
6,0.11671491705202705,6,696,1,0.9654827177179481,-0.9017640856845883,4.997618487514195
7,0.029964784894969898,7,812,1,0.9813435833623254,-0.9004074934838493,4.9975021803679684
8,0.04404979637722256,8,928,1,0.9271593001338081,-0.9166456496752409,4.997852329700777
9,0.013693778146146973,9,1044,1,0.9460344924475259,-0.9134008454434241,4.997724497080133
10,0.03301950144396615,10,1160,1,0.9003617925492611,-0.9307501477552171,4.997998032062338
11,0.03891785196261846,11,1276,1,0.9397724862342676,-0.9199863982111358,4.997750055425409
12,0.03960869173860013,12,1392,1,0.9495167091794874,-0.9194491262275031,4.997678526804284
13,0.02088149674023687,13,1508,1,0.9531499324263961,-0.9207609063456901,4.997646432938217
14,0.024787204705515237,14,1624,1,0.9292606236331071,-0.9308538628054022,4.997793988322509
15,0.02084443223687668,15,1740,1,0.9392971779191557,-0.930009416566933,4.997721949651178
16,0.01358402027152028,16,1856,1,0.9349161876905818,-0.9340375176514393,4.9977421649537455
17,0.023778193394738745,17,1972,1,0.9198352523293629,-0.9420972029088936,4.997828684901314
18,0.015120238005461029,18,2088,1,0.9462014131075924,-0.9353177695818926,4.997652087858849
19,0.01280002655516882,19,2204,1,0.9300468462866065,-0.943663672428837,4.997748559895676
20,0.015993304452241786,20,2320,1,0.9259063338407694,-0.9479149516905083,4.997766271061086
