step,LeducPoker/conv,LeducPoker/iters,LeducPoker/nodes_touched,LeducPoker/tau,LeducPoker/alpha,LeducPoker/beta,LeducPoker/gamma
0,2.373611111111111,0,0,,,,
1,2.373611111111111,1,18914,1,1.022487919143947,-0.8825253571253124,4.997255630074201
2,2.051730953141465,2,37828,1,1.025533353584024,-0.883895888064117,4.997224649023956
3,1.815361112629813,3,56742,1,1.0225590324593712,-0.8859943627131717,4.997238410038732
4,1.7231218442257759,4,75656,1,1.0205503129267404,-0.8880268935838531,4.997244897739822
5,1.6654272330916704,5,94570,1,1.0214383640959435,-0.8897074118318624,4.997229745860871
6,1.5262164189015528,6,113484,1,1.023073445231981,-0.8912981181849231,4.997208855935112
7,1.0505701566145373,7,132398,1,1.0225104600563726,-0.8932113482824597,4.997204340299897
8,1.011878318540264,8,151312,1,1.0101771619340787,-0.8970179126474831,4.9972874298259775
9,1.0145804857182676,9,170226,1,1.0116557175079899,-0.8987073854989576,4.997267812189712
10,1.0192141517767594,10,189140,1,1.0147867583213115,-0.900123226342961,4.997235692458428
11,0.7614142006543783,11,208054,1,1.0180020174817974,-0.9015293039888035,4.9972025867758045
12,0.5264196709333457,12,226968,1,1.0090434042928442,-0.905140951232061,4.997260598689886
13,0.3795598817492532,13,245882,1,0.9969771855142797,-0.909658469025552,4.997340444371426
14,0.3298400850313399,14,264796,1,0.98669280198677,-0.9141493474918123,4.997405924517793
15,0.3087968451728812,15,283710,1,0.9839863986109931,-0.9170322509811633,4.997416545338718
16,0.2532727703176635,16,302624,1,0.9842872469383876,-0.919212979999052,4.997405599455467
17,0.23539955909141994,17,321538,1,0.9792533565581742,-0.922826848150291,4.99743270647114
18,0.25017747527769296,18,340452,1,0.9792591374140447,-0.9251627018566904,4.997423790265618
19,0.22246076790006666,19,359366,1,0.98467249274929,-0.9260284747264282,4.997375885277222
20,0.1752398861046641,20,378280,1,0.982891395710471,-0.928882755411998,4.997379611958308
21,0.1945599324349946,21,397194,1,0.9762311001044943,-0.933233029475657,4.997418351880211
22,0.19580614780995867,22,416108,1,0.9833994910177557,-0.9335483106890099,4.997357379249642
23,0.1515086472506277,23,435022,1,0.9866213449282464,-0.9350388197309778,4.997324377336075
24,0.13687241653322507,24,453936,1,0.9792199830527037,-0.9397581129445343,4.997368907722021
25,0.10970015497919133,25,472850,1,0.9780769507077967,-0.9426515449800601,4.997367700181794
26,0.10931221402627347,26,491764,1,0.9721205474209058,-0.9472092110598531,4.997401263000333
27,0.10289225195607032,27,510678,1,0.9749191102630692,-0.9488734396113192,4.997371429120817
28,0.08235325514103314,28,529592,1,0.9754280635288288,-0.9513357899606008,4.9973580024832085
29,0.07272473390771339,29,548506,1,0.9694148791861981,-0.9561677390332424,4.99739183762117
30,0.07730609615265473,30,567420,1,0.9673465888576291,-0.959671066278265,4.997396830570993
31,0.07083990867823406,31,586334,1,0.9727467029143642,-0.9604094451960277,4.997347820751655
32,0.08403170434723752,32,605248,1,0.9721652949484709,-0.9633966347123053,4.997341909421424
33,0.08614451264951786,33,624162,1,0.9820164755493124,-0.9624802894722462,4.997258771503337
34,0.15460791982712405,34,643076,1,0.9859845121604895,-0.9637727713727244,4.997218318799446
35,0.12321926284184392,35,661990,1,1.0128862647602566,-0.9572095739253843,4.996997750679709
36,0.11667437502312575,36,680904,1,1.0065637999545367,-0.9619309121970454,4.997036740733419
37,0.13193713944007518,37,699818,1,1.0073293103457575,-0.9643534455256533,4.997019237305256
38,0.11906866930054093,38,718732,1,1.0154092140088515,-0.9642913757158966,4.9969426191676005
39,0.1052635799451353,39,737646,1,1.0141955630384452,-0.967393749382053,4.996940621912513
40,0.1009476730425719,40,756560,1,1.0121322359874236,-0.9708460230040692,4.996945450553892
41,0.09244403589238914,41,775474,1,1.013424521147597,-0.973147159750317,4.996922895872081
42,0.08584429754623951,42,794388,1,1.0128135264931442,-0.9761600711247742,4.996915725245431
43,0.091322359681389,43,813302,1,1.012776861580382,-0.9789970707039006,4.996903749081431
44,0.08605178192490763,44,832216,1,1.0183581600286673,-0.9797523775524264,4.996845151347361
45,0.081470684044885,45,851130,1,1.0189270290251506,-0.9823837557401194,4.996827723359729
46,0.0844632279429121,46,870044,1,1.019692361397055,-0.9849636253992513,4.99680848267487
47,0.08018287268644063,47,888958,1,1.024226543674659,-0.9861203973601542,4.99675715395067
48,0.07472430889007102,48,907872,1,1.0251068120255147,-0.9886782615001262,4.9967364160909336
49,0.08642972827086481,49,926786,1,1.0252178535827172,-0.9915571369536518,4.996722079009152
50,0.08590480721114956,50,945700,1,1.0343394038461187,-0.9909591313184272,4.9966294688515465
51,0.08900490657316484,51,964614,1,1.0371479252313986,-0.9927997837213525,4.996590837143643
52,0.0916435939226257,52,983528,1,1.0417055149893837,-0.9939818972247139,4.996536189179061
53,0.09509718082188195,53,1002442,1,1.0460131177228458,-0.9952673676028128,4.996483038272764
