step,LiarsDice3/conv,LiarsDice3/iters,LiarsDice3/nodes_touched,LiarsDice3/tau,LiarsDice3/alpha,LiarsDice3/beta,LiarsDice3/gamma
0,0.5555555555555555,0,0,,,,
1,0.5555555555555555,1,2294,1,1.022487919143947,-0.8825253571253124,4.997255630074201
2,0.3054048909125567,2,4588,1,1.025533353584024,-0.883895888064117,4.997224649023956
3,0.41431888743869627,3,6882,1,1.0026793400215435,-0.8887418227752784,4.997383681150341
4,0.29829922650981877,4,9176,1,1.0188628579314998,-0.8882515284148298,4.997257425260928
5,0.17882176185999574,5,11470,1,1.0076792032060446,-0.8917081069985389,4.997331166572618
6,0.2044634706288101,6,13764,1,0.988750198351005,-0.8969066580978029,4.997458414274334
7,0.08573544768850569,7,16058,1,0.9974540651020121,-0.8972804076551923,4.997388393007584
8,0.051466087971184335,8,18352,1,0.9635796465436897,-0.9065338856749481,4.997615862640627
9,0.02570729558393952,9,20646,1,0.9452057557406481,-0.9136356318774221,4.997729898098786
10,0.014916057874205739,10,22940,1,0.9194189850365653,-0.9240652736156614,4.997885310139928
11,0.007924265597457486,11,25234,1,0.8998100024791891,-0.9335671117763042,4.997993889588853
12,0.004798741014787354,12,27528,1,0.8766468443132156,-0.9449612284759028,4.998115343578571
13,0.0030210151484969944,13,29822,1,0.8590000968785592,-0.9548167935433385,4.9982009595552315
14,0.0019516056576873997,14,32116,1,0.8430872432149703,-0.9644947936357116,4.998274125466837
15,0.0013071906780332682,15,34410,1,0.8283496122528591,-0.9741561323698069,4.998338697701105
16,0.0008978558067196662,16,36704,1,0.8151776928012655,-0.9835579795543494,4.998393483603305
17,0.0006305264028451177,17,38998,1,0.8031112500551894,-0.9928144101159206,4.998441165260194
18,0.00045160003074613125,18,41292,1,0.7920075269086935,-1.001934994560554,4.998482919213382
19,0.0003291958707309639,19,43586,1,0.7817516474530688,-1.0109394285418338,4.998519680303769
20,0.00024380163580189906,20,45880,1,0.7722513598242975,-1.0198381800023864,4.9985521902275405
21,0.0001831652104135606,21,48174,1,0.7634477106167183,-1.0286331679981775,4.9985810562188435
22,0.00013941384101295862,22,50468,1,0.7552692290586771,-1.0373315614408818,4.998606761770164
23,0.00010738213793055895,23,52762,1,0.7476515578916438,-1.045940609068956,4.998629703433499
24,8.361612819237502e-05,24,55056,1,0.7405339353638374,-1.0544727939079,4.9986501921094355
25,6.57658531795502e-05,25,57350,1,0.7338601925831203,-1.0629432336127234,4.998668475786091
26,5.2206877776378446e-05,26,59644,1,0.7275907976039453,-1.07135520970401,4.998684795196068
27,4.1799750486723464e-05,27,61938,1,0.7216903792143134,-1.079709152136579,4.998699351600927
28,3.3734341725807915e-05,28,64232,1,0.7161187344815145,-1.087980659546962,4.998712278557335
29,2.742741301525048e-05,29,66526,1,0.710847910621049,-1.0961682444561307,4.998723722702804
30,2.2454163916600656e-05,30,68820,1,0.7058558031479791,-1.1042782212956381,4.998733822245001
