step,SmallMatrix/conv,SmallMatrix/iters,SmallMatrix/nodes_touched,SmallMatrix/tau,SmallMatrix/alpha,SmallMatrix/beta,SmallMatrix/gamma
0,3000.2666666666664,0,0,,,,
1,3000.2666666666664,1,42,1,1.022487919143947,-0.8825253571253124,4.997255630074201
2,91.72324088101169,2,84,1,1.025533353584024,-0.883895888064117,4.997224649023956
3,11.562180038102115,3,126,1,0.9170849721850614,-0.9078242139017745,4.997948791288248
4,2.980455620939903,4,168,1,0.8559406692923079,-0.9314088773088594,4.998277876493259
5,1.345804913234697,5,210,1,0.8177028693279684,-0.949692955749917,4.9984544136781786
6,0.9118089645384965,6,252,1,0.7967967177125079,-0.9621071987964693,4.998540889410474
7,0.768141804391242,7,294,1,0.7880077830809482,-0.9694318434497451,4.998572220020357
8,0.7121949474891082,8,336,1,0.7855993344303378,-0.9737260609547358,4.998576206946742
9,0.6872974804244268,9,378,1,0.7859781822896441,-0.9766236733957907,4.998568418627842
10,0.6747377128829166,10,420,1,0.7875224806475418,-0.9789308393030762,4.998555629030134
11,0.6675007948931208,11,462,1,0.7895690192238305,-0.9809857951698253,4.998540573563756
12,0.6626762525195969,12,504,1,0.7918433000339036,-0.9829299885525142,4.998524380874626
13,0.6589503299839418,13,546,1,0.7942256448810197,-0.9848253778955696,4.998507543022397
14,0.65568493482189,14,588,1,0.7966604970627444,-0.9867007886723598,4.998490288418404
15,0.6525486051719926,15,630,1,0.7991203435828365,-0.9885705110741463,4.998472729939557
16,0.6493575089798513,16,672,1,0.8015906285126748,-0.9904421096680407,4.99845492695675
17,0.6460025703429431,17,714,1,0.8040630896538017,-0.9923198801880553,4.998436912813061
18,0.6424142356952292,18,756,1,0.8065326559990291,-0.9942064609610481,4.998418707668808
19,0.6385446151266551,19,798,1,0.808995930161688,-0.9961036216839494,4.998400324815737
20,0.6343580332409514,20,840,1,0.8114504108410041,-0.998012667802969,4.99838177393314
21,0.629825820052823,21,882,1,0.8138940759000433,-0.9999346575249195,4.998363062850002
22,0.6249233150679311,22,924,1,0.8163251477353444,-1.0018705241246517,4.998344198550979
23,0.6196280590467163,23,966,1,0.818741953496749,-1.003821149009529,4.9983251877895505
24,0.6139186349500186,24,1008,1,0.8211428354980908,-1.0057874087721854,4.998306037495117
25,0.6077738648276985,25,1050,1,0.8235260880368918,-1.0077702086152727,4.998286755074402
26,0.60117219664422,26,1092,1,0.8258899073326504,-1.0097705090844753,4.998267348664193
27,0.5940911825284136,27,1134,1,0.8282323466623622,-1.0117893502640163,4.998247827370367
28,0.5865069860780138,28,1176,1,0.8305512715046182,-1.0138278761808206,4.998228201517193
29,0.34544397594070986,29,1218,1,0.8328443108025205,-1.0158873615058637,4.998208482926004
30,0.2813336102822681,30,1260,1,0.8195333532812374,-1.0262999179343528,4.998264688724269
31,0.28880368697260655,31,1302,1,0.8160245924153053,-1.0316005217798034,4.998272856552089
32,0.2713098013314367,32,1344,1,0.8194612285506497,-1.0330509819211482,4.998247847627541
33,0.3277135463446143,33,1386,1,0.8202375480784407,-1.0359991083868982,4.9982353559261785
34,0.369930025244001,34,1428,1,0.828602702832892,-1.0347260659154889,4.998185682079183
35,0.362447115310141,35,1470,1,0.8349627473250227,-1.0346112078187524,4.998144900696831
36,0.3348339452227223,36,1512,1,0.8370316456483433,-1.0368511669682556,4.998125194255309
37,0.29288050361471263,37,1554,1,0.8373091727442474,-1.0400793236195052,4.998114391534434
38,0.22992714132351377,38,1596,1,0.8359204270047389,-1.0442484747208471,4.99811192929959
39,0.17962097317006379,39,1638,1,0.8312433153704513,-1.0503169074775165,4.998125916172647
40,0.1554867931460305,40,1680,1,0.8264312078589446,-1.056571289233418,4.998140245175778
41,0.14376207832833673,41,1722,1,0.824733290840967,-1.0610852715429915,4.99813888742582
42,0.13603598253491891,42,1764,1,0.8250277852981134,-1.064449863795779,4.99812753659624
43,0.12125240357434122,43,1806,1,0.8260229624984372,-1.067411722874152,4.998112559003426
44,0.09484151983626239,44,1848,1,0.8252074225544261,-1.0714813797390201,4.998106471748857
45,0.07485252699677264,45,1890,1,0.8204536231693047,-1.078018379309484,4.998119850755642
46,0.06718612052873765,46,1932,1,0.815996297468661,-1.0844924928684736,4.9981315221276965
47,0.06530755204075317,47,1974,1,0.8154039428673938,-1.0885716025922487,4.998124041225278
48,0.06409100549075997,48,2016,1,0.8171976779685823,-1.0911288990329875,4.998104657658812
49,0.05531527548536308,49,2058,1,0.8192808761187031,-1.0935080395337204,4.998083609615154
50,0.04064077998192158,50,2100,1,0.8175127905598454,-1.0984141653518766,4.998081611345191
51,0.03483974416789795,51,2142,1,0.810950433572827,-1.1066064393351163,4.998103248728813
52,0.03449082612366427,52,2184,1,0.8090030572590035,-1.1117905554197796,4.998101873800861
53,0.035708374302237736,53,2226,1,0.8113301533639217,-1.1140504944819631,4.998079275996609
54,0.032111054668969734,54,2268,1,0.8149958721713628,-1.115395222379605,4.998049697923799
55,0.022656477119460654,55,2310,1,0.8144667220911039,-1.119651450947765,4.998040907388494
56,0.01975145076155806,56,2352,1,0.8067457230904862,-1.129070160649066,4.998067926334869
57,0.02060892060140701,57,2394,1,0.8053107138655364,-1.1341089883214786,4.998063441063783
58,0.02189514828274924,58,2436,1,0.8091831839331933,-1.1352870015759549,4.998032375077473
59,0.018075505884538948,59,2478,1,0.8136056272502332,-1.1360819078197182,4.9979980699615325
60,0.012227158260600435,60,2520,1,0.8105461428078038,-1.1423485820006563,4.998001457812176
61,0.012517874019867625,61,2562,1,0.8016303884396185,-1.153174833931723,4.99803393149714
62,0.014170997569243522,62,2604,1,0.8049296835467672,-1.1547743294423896,4.99800515167245
63,0.013802687642699984,63,2646,1,0.8112130827568154,-1.154113535651028,4.997960778513189
64,0.008469263581541295,64,2688,1,0.8130601531114481,-1.1568444911540101,4.997938526919279
65,0.008343331030825137,65,2730,1,0.8012604783380057,-1.1702363645851341,4.997985595566429
66,0.00985361578530919,66,2772,1,0.8034261135845333,-1.1727542898933283,4.997961735484324
67,0.010048835445805659,67,2814,1,0.8109530900482151,-1.171025496877753,4.997910082238793
68,0.0058662113654050895,68,2856,1,0.8141635403845462,-1.1727401132529203,4.997879947492002
69,0.0059722238957022195,69,2898,1,0.8008938949971918,-1.1877484122805406,4.997934604990624
70,0.008908571615907163,70,2940,1,0.8040264477812977,-1.1895096794442006,4.997905004672535
71,0.0072913219254989,71,2982,1,0.8184925951016788,-1.1821129090432672,4.997815502794366
72,0.0038991832368117352,72,3024,1,0.815170841681863,-1.1890838031259992,4.997818908207803
73,0.004648342733703018,73,3066,1,0.7993245082093989,-1.2067681185638262,4.997886961037537
74,0.008120156548921701,74,3108,1,0.8070978339668247,-1.2045672983984477,4.997832469356437
75,0.005148311197886347,75,3150,1,0.8263251162015068,-1.1931394363697563,4.997714655217279
76,0.005160173513049804,76,3192,1,0.8153732280096699,-1.2064867873099123,4.997759059901763
77,0.003741566358737371,77,3234,1,0.8180798491594516,-1.2086714443773423,4.997729272389003
78,0.006095927007970405,78,3276,1,0.8111739390437811,-1.2190514593407982,4.997751017602127
79,0.0034789210776335175,79,3318,1,0.828367126519062,-1.2090377877812195,4.997641423294104
80,0.0036205659720334113,80,3360,1,0.8142771862094338,-1.2254621665288046,4.9977030492307275
81,0.005673756562532413,81,3402,1,0.8180998801050501,-1.2267079792412807,4.997666215914641
82,0.0036273368848106597,82,3444,1,0.8342175213094936,-1.217595942785573,4.997559485375604
83,0.004459317594842103,83,3486,1,0.8234502226662241,-1.2312299657522674,4.997603766710203
84,0.002300758932202966,84,3528,1,0.8323073792977795,-1.2282189669476575,4.997536738091609
85,0.005853390341403205,85,3570,1,0.815184130875068,-1.2478642602445458,4.997615958770505
86,0.002798101661792485,86,3612,1,0.8459191140579168,-1.2259435045955978,4.997422213956744
87,0.004461045348724415,87,3654,1,0.8263116763010327,-1.2472672163037766,4.997518983599482
88,0.004711498036647773,88,3696,1,0.8430554803667032,-1.2374139261536152,4.997403378133988
89,0.002565373572612509,89,3738,1,0.847417800807098,-1.2383325541442152,4.9973588041448975
90,0.004896022156987638,90,3780,1,0.8317027163999495,-1.2565894034105216,4.9974337372757285
91,0.00164892139215987,91,3822,1,0.8540160991405052,-1.2419961936363457,4.997280746149016
92,0.004630584931380847,92,3864,1,0.8237847699749441,-1.2734277321791578,4.997442329347512
93,0.002016312879741446,93,3906,1,0.8577521494454072,-1.24809060901545,4.997218556651746
94,0.0028014344932065717,94,3948,1,0.8351529539717852,-1.2725936655138543,4.9973373794061295
95,0.005154580206607725,95,3990,1,0.8478105811426173,-1.2660110211823283,4.997240762421869
96,0.0022290576907780676,96,4032,1,0.8692790161706916,-1.2523852871914856,4.997083850346419
97,0.005058717888843023,97,4074,1,0.8462624442194187,-1.2769931332846924,4.997209697314961
98,0.0034354568555794163,98,4116,1,0.8742090744054922,-1.2575873757659226,4.99700908729535
99,0.0018657129969768273,99,4158,1,0.8649643304193209,-1.2700792974170874,4.99704862181631
100,0.004438430743711576,100,4200,1,0.8489619080704911,-1.2891612450915058,4.997129752306936
101,0.0010602614483447522,101,4242,1,0.8784298676421214,-1.2681128626648839,4.996914901888524
102,0.0038874238353298327,102,4284,1,0.8372204542068216,-1.310292097443405,4.997159485423171
103,0.0023674415407149165,103,4326,1,0.8798338152610141,-1.2764014482896693,4.996859841764788
104,0.0020436967441758384,104,4368,1,0.8671815275353267,-1.292254177231583,4.99692249006468
105,0.004702896479938415,105,4410,1,0.8653839958670873,-1.298796735014243,4.9969112653976895
106,0.0019189381558630553,106,4452,1,0.8941795317528949,-1.2786375878715537,4.996687897242329
107,0.004059100254027785,107,4494,1,0.8689303796319134,-1.3054932436286932,4.996839981534298
108,0.004135863339131075,108,4536,1,0.8951351590094196,-1.2873889669277436,4.9966316213441235
109,0.0015253205449132225,109,4578,1,0.898535730087966,-1.2893361158428664,4.996581550098899
110,0.00448983744001789,110,4620,1,0.8700793490405894,-1.3195185133270155,4.996758345777502
111,0.002232293663679853,111,4662,1,0.9067848882493528,-1.292061679235701,4.996468326486172
112,0.0024318011285941856,112,4704,1,0.8874905271608369,-1.3136391428594238,4.996584433113471
113,0.0032796070628714406,113,4746,1,0.892976672913057,-1.3137328365453622,4.996518008569293
114,0.0006754779033357446,114,4788,1,0.9052600288659014,-1.3079479270524925,4.9963992037316505
115,0.003846126839459658,115,4830,1,0.8586980092975254,-1.3566924161916485,4.996706651402917
116,0.0016539314975061894,116,4872,1,0.9160216344583167,-1.3086013660579638,4.996260215739579
117,0.0026744693057322677,117,4914,1,0.8920318312535995,-1.3348267912420264,4.9964150954160775
118,0.00414284228349575,118,4956,1,0.910077474464233,-1.3236392853364207,4.996249158032821
119,0.0015322075834882233,119,4998,1,0.9269896852941553,-1.3141076989466605,4.996084897925868
120,0.0038669638489966106,120,5040,1,0.8980324776353867,-1.344734510847755,4.996283286499503
121,0.00305249632978046,121,5082,1,0.930501356735943,-1.3210292433282134,4.995995192732815
122,0.00131402449261463,122,5124,1,0.9257191978432293,-1.3301019551413922,4.996003531447474
123,0.003401455498391501,123,5166,1,0.9016136509805235,-1.3570434810587904,4.996165000021348
124,0.0009455656997576716,124,5208,1,0.9349750934734047,-1.3321977478875109,4.995862923318623
125,0.0030740460180969983,125,5250,1,0.8968402352251956,-1.3722673716608083,4.996139378295203
126,0.0017186783290545076,126,5292,1,0.937454670326701,-1.340159422754149,4.995776173586801
127,0.0018642004336087241,127,5334,1,0.9215251080102056,-1.3594876449085926,4.995877011227202
128,0.00373845429004335,128,5376,1,0.9270041475000683,-1.3597109033089583,4.995797700319413
129,0.001378078765571439,129,5418,1,0.9525751022555093,-1.3424273969050806,4.995540936126644
130,0.0032650653052779663,130,5460,1,0.9230010691802402,-1.3739596303725812,4.995762679828662
131,0.0029081135094110476,131,5502,1,0.9539535781326274,-1.3514175164981026,4.995456990584757
132,0.0011426036981794763,132,5544,1,0.9530609240450463,-1.3573186072158574,4.9954285780467105
133,0.00295116727957255,133,5586,1,0.9255604359572378,-1.387635848353667,4.995634464354143
134,0.0008787393371493597,134,5628,1,0.9593958996598462,-1.362149319013862,4.995295709437034
135,0.002879171045676901,135,5670,1,0.9228447901064709,-1.4011629256459466,4.99558416763564
136,0.0014536734197753414,136,5712,1,0.9644502478389458,-1.3681346848627256,4.9951711215968295
137,0.0019223765747377337,137,5754,1,0.9448976554530901,-1.3909856622423202,4.995313515244332
138,0.0033469280742410962,138,5796,1,0.9569704267795491,-1.3852725279097848,4.995162454191382
139,0.0010793864282534825,139,5838,1,0.9783335913498381,-1.3717562087712918,4.994915952382339
